timestamp,time_of_day,occupancy,cluster
2025-04-17 00:54:47,100,12,0
2025-04-17 00:54:49,110,24,0
2025-04-17 00:54:51,120,14,0
2025-04-17 00:54:53,130,9,0
2025-04-17 00:54:55,140,7,0
2025-04-17 00:54:57,150,26,0
2025-04-17 00:54:59,160,6,0
2025-04-17 00:55:01,170,8,0
2025-04-17 00:55:03,180,25,0
2025-04-17 00:55:05,190,15,1
2025-04-17 00:55:07,200,27,1
2025-04-17 00:55:09,210,6,1
2025-04-17 00:55:11,220,29,1
2025-04-17 00:55:13,230,25,1
2025-04-17 00:55:15,240,8,1
2025-04-17 00:55:17,250,20,1
2025-04-17 00:55:19,260,23,1
2025-04-17 00:55:21,270,21,1
2025-04-17 00:55:23,280,9,1
2025-04-17 00:55:25,290,24,1
2025-04-17 00:55:27,300,5,1
2025-04-17 00:55:29,310,7,1
2025-04-17 00:55:31,320,30,1
2025-04-17 00:55:33,330,19,1
2025-04-17 00:55:35,340,14,1
2025-04-17 00:55:37,350,24,1
2025-04-17 00:55:39,360,25,1
2025-04-17 00:55:42,370,11,1
2025-04-17 00:55:43,380,10,2
2025-04-17 00:55:45,390,25,2
2025-04-17 00:55:47,400,22,2
2025-04-17 00:55:49,410,14,2
2025-04-17 00:55:51,420,80,2
2025-04-17 00:55:53,430,84,2
2025-04-17 00:55:55,440,87,2
2025-04-17 00:55:57,450,72,2
2025-04-17 00:55:59,460,74,2
2025-04-17 00:56:02,470,77,2
2025-04-17 00:56:04,480,84,2
2025-04-17 00:56:06,490,88,2
2025-04-17 00:56:08,500,77,2
2025-04-17 00:56:10,510,87,2
2025-04-17 00:56:12,520,90,2
2025-04-17 00:56:14,530,79,2
2025-04-17 00:56:16,540,79,2
2025-04-17 00:56:18,550,85,2
2025-04-17 00:56:20,560,86,2
2025-04-17 00:56:22,570,77,0
2025-04-17 00:56:24,580,76,0
2025-04-17 00:56:26,590,72,0
2025-04-17 00:56:28,600,81,0
2025-04-17 00:56:30,610,19,0
2025-04-17 00:56:32,620,10,0
2025-04-17 00:56:34,630,6,0
2025-04-17 00:56:36,640,16,0
2025-04-17 00:56:38,650,19,0
2025-04-17 00:56:40,660,24,0
2025-04-17 00:56:42,670,25,0
2025-04-17 00:56:44,680,10,0
2025-04-17 00:56:46,690,13,0
2025-04-17 00:56:48,700,29,0
2025-04-17 00:56:50,710,10,0
2025-04-17 00:56:52,720,91,0
2025-04-17 00:56:54,730,97,1
2025-04-17 00:56:56,740,89,1
2025-04-17 00:56:58,750,93,1
2025-04-17 00:57:00,760,93,1
2025-04-17 00:57:02,770,88,1
2025-04-17 00:57:04,780,91,1
2025-04-17 00:57:06,790,86,1
2025-04-17 00:57:08,800,88,1
2025-04-17 00:57:10,810,86,1
2025-04-17 00:57:12,820,92,1
2025-04-17 00:57:14,830,99,1
2025-04-17 00:57:16,840,96,1
2025-04-17 00:57:18,850,85,1
2025-04-17 00:57:20,860,98,1
2025-04-17 00:57:22,870,88,1
2025-04-17 00:57:24,880,93,1
2025-04-17 00:57:26,890,90,1
2025-04-17 00:57:28,900,90,1
2025-04-17 00:57:30,910,21,2
2025-04-17 00:57:32,920,23,2
2025-04-17 00:57:34,930,14,2
2025-04-17 00:57:36,940,9,2
2025-04-17 00:57:38,950,22,2
2025-04-17 00:57:40,960,22,2
2025-04-17 00:57:42,970,11,2
2025-04-17 00:57:44,980,26,2
2025-04-17 00:57:46,990,24,2
2025-04-17 00:57:48,1000,11,2
2025-04-17 00:57:50,1010,18,2
2025-04-17 00:57:52,1020,18,2
2025-04-17 00:57:54,1030,15,2
2025-04-17 00:57:56,1040,25,2
2025-04-17 00:57:58,1050,25,2
2025-04-17 00:58:00,1060,8,2
2025-04-17 00:58:02,1070,26,2
2025-04-17 00:58:04,1080,49,2
2025-04-17 00:58:06,1090,49,2
